Station Name
99999991
11/29/2021,21:31:30,CNT,0,,G
11/29/2021,21:31:30,OUTSDI,0,Samples,G
11/29/2021,21:31:30,OUT,0,,G
11/29/2021,21:37:30,AVGSDI,0.002,m,G
11/29/2021,21:37:30,AVG,0,,B
11/29/2021,21:37:30,STDSDI,0.000,m,G
11/29/2021,21:37:30,STD,0,,B
11/29/2021,21:37:30,CNTSDI,37,Samples,G
11/29/2021,21:37:30,CNT,0,,G
11/29/2021,21:37:30,OUTSDI,0,Samples,G
11/29/2021,21:37:30,OUT,0,,G
11/29/2021,21:43:30,AVGSDI,0.002,m,G
11/29/2021,21:43:30,AVG,0,,B
11/29/2021,21:43:30,STDSDI,0.000,m,G
11/29/2021,21:43:30,STD,0,,B
11/29/2021,21:43:30,CNTSDI,37,Samples,G
11/29/2021,21:43:30,CNT,0,,G
11/29/2021,21:43:30,OUTSDI,0,Samples,G
11/29/2021,21:43:30,OUT,0,,G
11/29/2021,21:49:30,AVGSDI,0.002,m,G
11/29/2021,21:49:30,AVG,0,,B
11/29/2021,21:49:30,STDSDI,0.000,m,G
11/29/2021,21:49:30,STD,0,,B
11/29/2021,21:49:30,CNTSDI,37,Samples,G
11/29/2021,21:49:30,CNT,0,,G
11/29/2021,21:49:30,OUTSDI,0,Samples,G
11/29/2021,21:49:30,OUT,0,,G
11/29/2021,21:55:30,AVGSDI,0.002,m,G
11/29/2021,21:55:30,AVG,0,,B
11/29/2021,21:55:30,STDSDI,0.000,m,G
11/29/2021,21:55:30,STD,0,,B
11/29/2021,21:55:30,CNTSDI,37,Samples,G
11/29/2021,21:55:30,CNT,0,,G
11/29/2021,21:55:30,OUTSDI,0,Samples,G
11/29/2021,21:55:30,OUT,0,,G
11/29/2021,22:01:30,AVGSDI,0.002,m,G
11/29/2021,22:01:30,AVG,0,,B
11/29/2021,22:01:30,STDSDI,0.000,m,G
11/29/2021,22:01:30,STD,0,,B
11/29/2021,22:01:30,CNTSDI,37,Samples,G
11/29/2021,22:01:30,CNT,0,,G
11/29/2021,22:01:30,OUTSDI,0,Samples,G
11/29/2021,22:01:30,OUT,0,,G
11/29/2021,22:07:30,AVGSDI,0.002,m,G
11/29/2021,22:07:30,AVG,0,,B
11/29/2021,22:07:30,STDSDI,0.000,m,G
11/29/2021,22:07:30,STD,0,,B
11/29/2021,22:07:30,CNTSDI,37,Samples,G
11/29/2021,22:07:30,CNT,0,,G
11/29/2021,22:07:30,OUTSDI,0,Samples,G
11/29/2021,22:07:30,OUT,0,,G
11/29/2021,22:13:30,AVGSDI,0.002,m,G
11/29/2021,22:13:30,AVG,0,,B
11/29/2021,22:13:30,STDSDI,0.000,m,G
11/29/2021,22:13:30,STD,0,,B
11/29/2021,22:13:30,CNTSDI,37,Samples,G
11/29/2021,22:13:30,CNT,0,,G
11/29/2021,22:13:30,OUTSDI,0,Samples,G
11/29/2021,22:13:30,OUT,0,,G
11/29/2021,22:19:30,AVGSDI,0.002,m,G
11/29/2021,22:19:30,AVG,0,,B
11/29/2021,22:19:30,STDSDI,0.000,m,G
11/29/2021,22:19:30,STD,0,,B
11/29/2021,22:19:30,CNTSDI,37,Samples,G
11/29/2021,22:19:30,CNT,0,,G
